,gid,uid,nutrition_subgroup,food_type,description,weight,unit,ingredients,project_name,rgbd_file_names,nutrition_facts_sources,quality,quality_comments,merged,started,finished,qa,texture_sources,textured,start
25,44,d567d010-f72b-44c9-a75d-766e6cbfb633,yeast breads,yeast bread,"whole loaf of italian-style crispy yeast bread, oblong in shape",454.0,g,[],Project11052023155508,"['44_yeastbread_1_0', '44_yeastbread_1_1']",['IMG_6926'],3.0,"great scans and merge was unproblematic, some discolorations.",,14:31:32,16:18:08,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
27,31,dd9336fd-5304-4e96-ab58-4dd251925dbc,poultry,whole chicken,BBQ seasoned whole oven roasted chicken from sobeys (cold),1004.0,g,,Project10222023151121,"['31_chicken_0_0', '31_chicken_0_1', '31_chicken_0_2', '31_chicken_0_3']",['IMG_6834'],3.0,very representative chicken with few colour problems. Holes in the back part of chicken (where legs intersect) left unfilled,,14:41:25,15:28:53,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
28,73,258258be-c6e9-46eb-8cc3-d1f63f4a00a5,meats,bacon,a single strip of smoked bacon,7.0,g,[],Project02102024172459,"['73_bacon_0_0', '73_bacon_0_1']",['IMG_7374'],2.0,"Capture was surprisingly tough, tracking was not possible until
dark-object scanning mode was used. This resulted in more artefacts
captured around the edges of the item which have been removed as much
as possible. Automatic merge failed.
Texture of high quality, so skipping the capture of texture sources
because I've spent way too much time on this item already.
",False,16:48:38,17:40:15,,[],False,
30,24,2ac1cacd-2c1a-4597-8667-92ecfa210c16,other vegetables and combinations,avocado,whole round ripe avocado with a sticker,199.0,g,,Project10082023181015,"['24_avocado_1_0', '24_avocado_1_1']",['IMG_4044'],3.0,"common discoloration on the texture, no mesh artefacts",,17:38:56,18:17:58,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
31,55,5f85955e-a3b7-413b-abb3-3becce9e9e4f,fried rice and lo/chow mein,fried rice,vegetable fried rice,73.0,g,[],Project11262023152258,['55_friedrice_0_0'],"['IMG_7159', 'IMG_7160']",3.0,"only scanned top because of nature of sample, hole filled at bottom of single scan",True,15:19:48,15:28:00,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",['IMG_7161'],False,
32,33,ce9d3796-bc1c-4b84-bd60-2c6f53c990d3,poultry,chicken wing,detached chicken wing from roasted chicken,28.0,g,,Project10232023170951,"['33_chickenwing_3_0', '33_chickenwing_3_1']",['IMG_6874'],2.0,"texture and shape captured well, need to merge on meshlab",False,16:58:31,17:18:54,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'requires_nutritional_facts_imputation': True, 'comments': 'RGBD files: ok\nModel quality: Merge required\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
33,6,d7a896e3-1c75-47a1-bd3e-730f378f6240,cookies and brownies,brownie,very tasty,101.0,g,,Project09172023160310,"['6_brownie_2_0', '6_brownie_2_1']",,3.0,very high quality,,16:00:54,16:10:19,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': False, 'ingredients_acceptable': True, 'comments': 'RGBD files: unacceptable, only 2-3 sides are represented on the video capture.\nBrownie captures are also without the unique-frame markers.\nModel quality: great\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
34,56,2a59d3a9-2da1-4e24-b8eb-62aa30d206dc,meat mixed dishes,meatloaf,slice of meatloaf,105.0,g,[],Project11262023161145,"['56_meatloaf_0_0', '56_meatloaf_0_1']","['IMG_7163', 'IMG_7164']",3.0,incredible scan,True,16:05:23,16:19:40,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7165', 'IMG_7166', 'IMG_7167', 'IMG_7168', 'IMG_7169', 'IMG_7170']",False,
37,14,115576af-2ff8-4515-8421-d3d93d6c8888,pancakes waffles french toast,waffle,small waffle quarter,18.0,g,,Project10022023172708,"['14_waffle_4_0', '14_waffle_4_1']",['IMG_4008'],2.0,"Toothpick + triangle-square markers needed
for capture to merge. Automatic feature-based merge failed even with the markers.
Marker-based merge succeeded, albeit with many artifacts. Misalignment,
holes which have been filled. Overall the model is workable, 14_waffle_3 was much
better however.
",,17:25:01,17:41:32,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: poor, but passable. The texturing is a bit off.\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
38,22,360ed839-ce30-4fa0-a070-802c5da2f136,broccoli,broccoli,small piece of broccoli cut off main bunch,17.0,g,,Project10082023155222,"['22_broccoli_3_0', '22_broccoli_3_1']",['IMG_4041'],3.0,representative besides some colouring. Some holes left unfilled. Merging was easy.,,15:45:30,16:01:57,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
39,10,248e9623-7eae-4689-846c-e7a11930441b,tomatoes (slice),tomato slice,a single tomato slice placed directly on black table cover (no plate or bowl),12.0,g,,Project09242023163211,"['10_tomato_2_0', '10_tomato_2_1']",['IMG_3966'],2.0,"both sides of slice was difficult to merge (used markers to manually mark features), so result is not a perfect slice.",,15:14:12,16:56:30,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: missing\nModel quality: borderline pass, the texture is quite bad\nbut one can make out that this is indeed a slice of a tomato.\nCould be a good candidate for retexturing\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
40,52,9bbace69-1cb4-486d-90b8-23de6edb83d3,tortilla and corn chips,tortilla and corn chips,single organic gluten free salted stone ground tortilla chip,3.0,g,[],Project11192023154526,"['52_tortillacornchips_1_0', '52_tortillacornchips_1_1']",['IMG_7087'],2.0,"texturing function works very well and creates a very accurate image, but couldn't merge properly",False,15:04:33,15:55:42,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]","['IMG_7093', 'IMG_7094', 'IMG_7095', 'IMG_7096', 'IMG_7097', 'IMG_7098']",True,
41,34,f3b629f3-bf42-4ca4-b1e0-67bce5605b3b,poultry,chicken breast,skin on chicken breast detached from roasted whole chicken,185.0,g,,Project10232023164505,"['34_chickenbreast_3_0', '34_chickenbreast_3_1']",['IMG_6874'],2.0,"texture captured well, a bit of skin sticking out, need to merge on meshlab",False,16:28:42,16:56:15,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
42,38,b6a6b136-7e43-41ea-8943-e875a92aa3d4,cakes and pies,pies,A quarter of Compliments apple pie with no artificial flavours,138.0,g,[],Project10282023181409,"['38_applepie_1_0', '38_applepie_1_1']","['IMG_6900', 'IMG_6901', 'IMG_6902']",2.0,"the piece disintegrated and couldn't merge, but got a realistic image",False,17:53:43,18:26:13,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
45,37,9f637e1d-f29b-4b96-ad92-265e3e7304ed,meats,pork ribs,"Half rack pork back ribs maple bacon, cold",328.0,g,[],Project10282023165204,"['37_porkribs_0_0', '37_porkribs_0_1']","['IMG_6894', 'IMG_6895']",3.0,had troubles with merge so used marker based merge,,16:07:10,17:57:27,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
47,58,4acea0aa-cd53-45af-96bb-5aed1c8bebe2,string beans,green beans,single green bean,0.5,g,[],Project11272023165530,"['58_greenbeans_2_0', '58_greenbeans_2_1']","['IMG_7210', 'IMG_7211']",2.0,"overall good scan but couldn't merge, and texturing wasn't similar to the actual texture",False,16:44:49,17:18:16,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7222', 'IMG_7223', 'IMG_7224', 'IMG_7225', 'IMG_7226', 'IMG_7227']",False,
48,3,ad67c043-a6f6-491b-b26c-964b840aa05c,stawberries,strawberry,"yellow lamp lighting used for capture, white light turned off",26.0,g,,Project09152023164349,"['3_strawberry_1_1', '3_strawberry_1_0']",,3.0,petals are wonky LOL,,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame markers\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
51,23,9a133e3e-36fe-434b-8cd4-7182d89f8075,corn,corn (cob),whole cob of corn completely peeled.,291.0,g,,Project10082023172453,"['23_corn_2_0', '23_corn_2_1']",['IMG_4042'],3.0,great 2 raw scans and merge (on first try). Still some colours discrepancy from 2 merges.,,16:17:37,17:34:29,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: very good\nIngredients list: \n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': True}]",,,
52,57,490abe96-a862-471d-b226-0bc1df55e75e,plant-based protein foods,beans (bowl),lump of baked beans,13.0,g,[],Project11272023154136,['57_bakedbeans_1'],"['IMG_7207', 'IMG_7208', 'IMG_7209']",3.0,"one scan with texture, came out very well.",True,15:34:47,15:46:13,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7196', 'IMG_7197', 'IMG_7198', 'IMG_7199', 'IMG_7200']",True,
53,39,2af130e1-450e-4a90-99a0-0355ab43ccda,macaroni and cheese,macaroni and cheese,store-bought mac and cheese (single noodle),1.0,g,[],Project10282023191626,"['39_macandcheese_2_0', '39_macandcheese_2_1']",['IMG_6903'],3.0,"successful merge, noodle representative of a typical mac-and-cheese noodle",,19:15:50,19:29:10,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
54,50,517dff85-c147-45ef-8b11-66b6d22ed5a1,ice cream and frozen dairy desserts,ice cream,Compliments Vanilla Ice Cream,131.0,g,"['cream, sugars, mono- and diglycerides, etc']",Project11192023142217,['50_icecream_3'],"['IMG_7079', 'IMG_7080']",3.0,"slightly melted ice cream scan but great detail, texture.",,13:52:24,14:32:42,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good, missing bottom but we cannot\nrotate melting ice-cream\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7074', 'IMG_7075', 'IMG_7076', 'IMG_7077', 'IMG_7078']",,
55,9,06a87bc0-ffe3-43a7-b0e8-c422859721c9,tomatoes (whole),tomatoes (whole),,332.0,g,,Project09242023151551,"['9_tomato_2_0', '9_tomato_2_1']",['IMG_3967'],1.0,Couldn't get the side scan. Merge couldn't detect overlapping area.,,14:01:17,16:08:23,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: not present, perhaps got lost in sync??\nModel quality: abhorrant. The tomato is halved and the bottom has been filled\nin as a hole. It might be a mis-export from RevoScan.\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
58,0,b91807a2-0cb3-4b05-bded-f2760e6cda5c,apple,apple,"Eaten, no RGBD files available for this one",234.0,g,,0_apple_0,[],,,,,,,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': False, 'ingredients_acceptable': True, 'comments': 'RGBD files: not present\nModel quality: \nIngredients list: \n\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}, {'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': False, 'ingredients_acceptable': True, 'requires_nutritional_facts_imputation': True, 'comments': 'RGBD files: not present\nModel quality: \nIngredients list: \n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
59,7,f0530e18-ffb0-4b1f-947b-c8e03ca0b2d5,bagels and english muffins,bagel,,74.0,g,,Project09172023163234,"['7_bagel_1_0', '7_bagel_1_1']",,3.0,some shadows in the area around the cut between the two bagels,,16:32:56,16:41:25,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': False, 'ingredients_acceptable': True, 'comments': ""RGBD files: the captures are too short and do not represent\nenough of the object especially on the sides. This one is not acceptable.\nIt's a shame, because the 3D model looks great.\nModel quality: great.\n"", 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
60,2,b21b8e6b-fa94-4949-b312-8b2b0e28a213,bananas,banana,,167.0,g,,Project09152023160201,"['2_banana_3_0', '2_banana_3_1']",,3.0,,,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame markers\nModel quality: minor shadow captured near the tail-end of the banana, might require editing\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
63,25,487accfe-4fad-4fec-80dd-ebcf304d206c,egg rolls dumplings sushi,sushi,"california roll with cucumber, crab meat, red caviar, avocado, rice, seaweed",29.0,g,,Project10162023154302,"['25_sushi_0_0', '25_sushi_0_1']",,2.0,low precision in image quality,,15:23:54,16:18:38,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': False, 'comments': 'RGBD files: mislabeled, the captures with this name seem to correspond\nto sushi_6\nModel quality: pretty bad, low resolution, hard to make out the ingredients of the\nsushi roll\nIngredients list: not captured and should have been measured separately\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
64,1,81a72626-6da1-4f42-81bf-b8d2634ba0d5,biscuits muffins quick breads,biscuit,,42.0,g,,Project09152023144532,"['2023-09-15--17-45-15', '2023-09-15--17-44-55']",,3.0,,,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame marker\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
65,27,d4fef155-a90f-4e4e-928e-04817066ee7a,shellfish,shrimp,,8.0,g,,Project10202023223557,"['28_shrimp_1_0', '28_shrimp_1_1']",['IMG_6823'],3.0,need to merge on meshlab,False,18:32:07,18:44:35,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: ok\nModel quality: requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
66,32,c958e87d-a722-4cf4-83ec-424a79e29175,poultry,chicken thigh,chicken thigh with legs attached + skin,181.0,g,,Project10232023174533,"['32_chickenthigh_3_0', '32_chickenthigh_3_1']",['IMG_6874'],3.0,"one-click editing, texture much better. need to merge on meshlab",False,17:23:58,17:54:26,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'requires_nutritional_facts_imputation': True, 'comments': 'RGBD files: ok\nModel quality: Merge required\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
69,5,8df53c28-b2d7-4cad-a484-a4859fad1c45,cookies and brownies,cookie,oatmeal and raisin,43.0,g,,Project09172023151959,"['5_cookie_1_0', '5_cookie_1_1']",,3.0,Amazing quality as usual.,,15:19:52,15:31:31,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame markers, some frames have the object not fully in view.\nModel quality: spectacular.\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
71,22,1f0b568e-8dbf-4128-a2e9-1c00058b93d2,broccoli,broccoli,small bunch of broccoli cut from main bunch,9.0,g,,Project10082023160215,"['22_broccoli_4_0', '22_broccoli_4_1']",['IMG_4041'],3.0,"representative, easy merge, minimal isolation and some holes left unfilled as appropriate.",,15:46:13,16:10:06,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
72,14,099c3736-3852-424e-a335-443512aa31b2,pancakes waffles french toast,waffle,small waffle quarter,23.0,g,,Project10022023171525,"['14_waffle_3_0', '14_waffle_3_1']",['IMG_4008'],3.0,"Successful merge, holes not abundant",,17:14:21,17:24:10,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
74,45,8080d849-a2fb-4f58-b740-73dc60c17583,biscuits muffins quick breads,quick bread,slice of original pound cake,52.0,g,[],Project11052023170035,"['45_quickbread_2_0', '45_quickbread_2_1']",['IMG_6931'],3.0,"great looking slice, some minor discolorations",,15:28:07,17:12:31,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'requires_nutritional_facts_imputation': True, 'comments': 'RGBD files: missing `2_0`\nModel quality: ok\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
76,46,c3a8dfa3-c757-463c-9111-bb117c1a9104,corn,corn,single piece of corn,0.1,g,[],Project11102023180856,"['46_corn_2_0', '46_corn_2_1']",['IMG_4128'],3.0,"good individual scans, unable to merge using revpoint",False,18:07:34,18:26:47,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]","['IMG_4133', 'IMG_4134']",False,
79,46,1c8d0ab3-951e-4f29-a2bc-efdb68a00cda,corn,corn,bowl of corn,317.0,g,[],Project11102023182756,['46_corn_3_0'],['IMG_4128'],3.0,"good individual scans, unable to merge using revpoint",False,18:27:01,18:56:56,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_4135', 'IMG_4136']",False,
80,29,6fc7ecc4-b0ea-49f2-84ab-5df5b0f009c0,frankfurter sandwiches,frankfurter sandwich,speckled hotdog bun and sausage with mustard,121.0,g,"[{'name': 'sausage', 'weight': 37}, {'name': 'bun', 'weight': 84}]",Project10212023174552,"['29_frankfurter_2_0', '29_frankfurter_2_1']","['IMG_6818', 'IMG_6819', 'IMG_6820', 'IMG_6822']",3.0,mostly good except some holes needed to be filled at the ends of the sausage. Also some discolourations.,,16:37:09,18:01:42,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
81,45,47322436-c802-470c-ac2b-ba98d000ddc8,biscuits muffins quick breads,quick bread,slice of banana & pecan pound cake,67.0,g,[],Project11052023171205,"['45_quickbread_3_0', '45_quickbread_3_1']",['IMG_6932'],3.0,"great merge, pecans and patterns present",,15:30:57,17:29:26,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
85,14,605d962f-1287-417c-a56a-52c4e141ca5b,pancakes waffles french toast,waffle,small waffle,72.0,g,,Project10012023134414,"['14_waffle_2_0_pc', '14_waffle_2_1_pc']",['IMG_4008'],2.0,Point cloud captures successful and of high quality but no ability to merge,False,13:38:51,14:09:07,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: the exported OBJ mesh has no color information. This\nhas been exported from Blender, so find the corresponding `.blend` project\nfile (or `_ml.obj` file) and export again with color information.\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
86,5,71826141-d25d-4f48-8ae5-e584426a7358,cookies and brownies,cookie,chocolate chip,36.0,g,,Project09172023151219,"['5_cookie_0_0', '5_cookie_0_1']",,3.0,Amazing quality. No holes/isolations even!,,15:08:47,15:19:18,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-feature markers, some frames have the object not in full view.\nNot entirely satisfied with the RGBD capture quality but should have enough\nframes for representing the object.\nModel quality: spectacular\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
88,75,444eabc3-1fc9-4d17-b9d6-554b105b8b6b,nachos,nachos,single triangular nacho chip,1.0,g,[],Project02102024181220,"['75_nachos_0_0', '75_nachos_0_1']",['IMG_7377'],3.0,"Good capture quality with no artefacts. Automatic merge failed.
The texture is less crisp in comparison with a real nacho.
",False,18:11:39,18:29:29,,"['IMG_7378', 'IMG_7379']",False,
89,28,78166b55-2138-48ad-9f12-0da9a6e6dec4,shellfish,shrimp,,7.0,g,,Project10202023222046,"['28_shrimp_0_0', '28_shrimp_0_1']",['IMG_6823'],3.0,need to merge on meshlab,False,18:12:15,18:32:02,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good, great manual merge by Connie!\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
90,32,970f345a-e991-4c49-b90c-834892248691,poultry,chicken thigh,chicken thigh with legs attached + skin,183.0,g,,Project10232023173055,"['32_chickenthigh_2_0', '32_chickenthigh_2_1']",['IMG_6874'],3.0,"tried out one-click editing, texture much more beautiful. need to merge on meshlab",False,17:22:08,17:45:22,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'requires_nutritional_facts_imputation': True, 'comments': 'RGBD files: ok\nModel quality: Merge required\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
93,1,6f7c8ed4-520a-414c-a5e3-078a0b636c1a,biscuits muffins quick breads,biscuit,,50.0,g,,Project09152023142344,"['2023-09-15--17-22-22', '2023-09-15--17-39-39']",,2.0,Minor remnants of a shadow near the bottom of the biscuit,,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame marker\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
96,2,3b0190c6-1f7f-4c0f-a98a-1aec059a299d,bananas,banana,,194.0,g,,Project09152023154756,"['2_banana_2_0', '2_banana_2_1']",,3.0,,,,,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: no unique-frame marker\nModel quality: minor artefacts near the tail-end of the banana, might require editing\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
97,7,656442d1-36d1-4b5e-9f0b-caba8029292f,bagels and english muffins,bagel,,75.0,g,,Project09172023162453,"['7_bagel_0_0', '7_bagel_0_1']",,3.0,some shadows in the area around the cut between the two bagels,,16:23:07,16:31:46,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': ""RGBD files: borderline accept, one of the sides of the bagel\nwas not represented fully, it's less of an issue for a ring-shaped\nobject, it was a downright reject for the brownies though.\nModel quality: great.\n"", 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
98,0,0f8f2553-04f9-4c41-b106-6b6c360c6f4e,apple,apple,Granny Smith Apple (green apple),194.0,g,,0_apple_1,"['2023-09-13--19-49-15', '2023-09-13--19-49-37']",,,,,,,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: 2nd file missing\nRGBD files: no unique-frame markers\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
104,51,02524187-5fab-402f-ab06-85cb437c88b3,pasta mixed dishes,pasta,penne pomodoro on a white plate,321.0,g,"['penne pasta', 'cheese', 'meatballs', 'tomato sauce']",Project11192023143227,['51_pasta_0'],['IMG_7081'],3.0,very realistic scan with pretty good texture,True,14:38:34,15:14:20,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  good, very porous and without the bottom\nbut it would be hard to turn the noodles on their underside in\na deterministic way to elicit a good merge\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7082', 'IMG_7083', 'IMG_7084', 'IMG_7085', 'IMG_7086']",True,
