,gid,uid,nutrition_subgroup,food_type,description,weight,unit,ingredients,project_name,rgbd_file_names,nutrition_facts_sources,quality,quality_comments,merged,started,finished,qa,texture_sources,textured,start
198,24,37f8200b-431f-4d0b-aa0f-22154694e2ea,other vegetables and combinations,avocado,,188.0,g,,Project10082023181846,[],['IMG_4044'],3.0,common discoloration but no issues with the mesh integrity,,17:40:14,18:26:10,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
201,33,198dcc3a-5ed0-47aa-943e-d845390644f4,poultry,chicken wing,detached chicken wing from roasted chicken,53.0,g,,Project10222023161146,"['33_chickenwing_0_0', '33_chickenwing_0_1']",['IMG_6834'],3.0,"great, some holes left unfilled because of gap",,16:06:35,16:24:47,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
203,6,4d0cd7b0-20c8-497c-99f1-0df4cdba2f6e,cookies and brownies,brownie,very tasty,103.0,g,,Project09172023155228,"['6_brownie_1_0', '6_brownie_1_1']",,3.0,very high quality,,15:51:03,15:59:56,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': False, 'ingredients_acceptable': True, 'comments': 'RGBD files: do not represent all sides of the object! Very disappointing!\nModel quality: great.\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
204,35,7f5ab4b3-7147-4b9d-bcb7-fd0c08d195a5,poultry,chicken tender,"cut from whole chicken, no skin",30.0,g,,,"['35_chickentender_1_0', '35_chickentender_1_1']",['IMG_6874'],3.0,"one-click edited, shape and texture good, need to merge on meshlab",False,17:57:48,18:22:05,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
206,6,c098e840-d07c-4cbb-a78c-62f9f1461b43,cookies and brownies,brownie,very tasty,104.0,g,,Project09172023154111,"['6_brownie_0_0', '6_brownie_0_1']",,3.0,very high quality,,15:42:38,15:49:32,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': False, 'ingredients_acceptable': True, 'comments': 'RGBD files: only 3 sides of the brownie represented on the video,\nthis is also one of those samples without unique-frame markers\nModel quality: great\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
207,35,4de322d3-efdb-4711-b8de-1d2514683077,poultry,chicken tender,"cut from whole chicken, no skin",38.0,g,,Project10232023180304,"['35_chickentender_0_0', '35_chickentender_0_1']",['IMG_6874'],3.0,"one-click edited, shape and texture good, need to merge on meshlab",False,17:56:56,18:13:17,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]",,,
208,33,904fd2e4-71fc-4501-84f0-e7f656ee4c18,poultry,chicken wing,detached chicken wing from roasted chicken,48.0,g,,Project10222023162457,"['33_chickenwing_1_0', '33_chickenwing_1_1']",['IMG_6834'],3.0,"representative chicken wing with detail, some holes left unfilled because of gaps",,16:08:13,16:33:59,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
213,31,e07dad32-bca9-493a-9ad6-5d946be57e05,poultry,whole chicken,"BBQ Seasoned Family Sized Chicken, Hot 1kg",992.0,g,[],Project10282023152827,"['31_chicken_2_0', '31_chicken_2_1']","['IMG_6892', 'IMG_6893']",2.0,merged scan has multiple lighting and colours of each scan,,15:21:03,16:51:54,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: borderline accept, a bit porous but representative\nof a whole chicken\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
216,44,e6972bc3-8e69-4197-83aa-6b3500366ec6,yeast breads,yeast bread,"one slice of italian-style crispy yeast bread, oblong in shape",43.0,g,[],Project11052023163139,"['44_yeastbread_3_0', '44_yeastbread_3_1']",['IMG_6926'],3.0,"great texture on bread slice, but some minor shadows on crust",,16:00:30,16:38:50,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
219,58,dc39ef88-c3f1-4352-8d34-24e3d5fecdfa,string beans,green beans,summer sweet peas in a bowl,22.0,g,[],Project11272023162716,['58_greenbeans_0'],"['IMG_7210', 'IMG_7211']",2.0,"just one scan, good overall scan, not as clear when filling in the holes for the bowl",True,16:11:04,16:51:54,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7212', 'IMG_7213', 'IMG_7214', 'IMG_7215', 'IMG_7216']",True,
223,37,a725df67-51fe-4b9c-b1af-7cb4f53e6f93,meats,pork ribs,"Half rack pork back ribs maple bacon, cold - single rib",54.0,g,[],Project11262023135644,"['37_porkribs_2_0', '37_porkribs_2_1']","['IMG_7129', 'IMG_7130']",3.0,"great scan, merged very well",True,13:57:38,14:12:04,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]","['IMG_7132', 'IMG_7133', 'IMG_7134', 'IMG_7135', 'IMG_7136', 'IMG_7137']",False,
225,34,e5dc5909-156c-4d8a-937f-9edd38aa5154,poultry,chicken breast,skin on chicken breast detached from roasted whole chicken,157.0,g,,Project10222023171457,"['34_chickenbreast_1_0', '34_chickenbreast_1_1']",['IMG_6834'],2.0,good top and bottom scans but merge left unwanted gaps. Heavy colour uneveness.,,16:59:42,17:24:32,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
226,52,ce928754-4263-46da-b2dd-cd3688556ebd,tortilla and corn chips,tortilla and corn chips,single Fritos original corn chip,2.0,g,[],Project11192023160951,"['52_tortillacornchips_3_0', '52_tortillacornchips_3_1']",['IMG_7099'],3.0,good quality and textured scans but couldn't merge properly,False,15:42:39,16:20:52,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality:  requires merging\n', 'model_merge_required': True, 'model_texture_required': True, 'accepted': False}]","['IMG_7105', 'IMG_7106', 'IMG_7107', 'IMG_7108', 'IMG_7109', 'IMG_7110']",True,
228,10,c33c6874-4980-40b6-b904-260c701c8471,tomatoes (slice),tomato slice,"A single tomato slice, about 2.5 cm thick at the peel, and converging to an apex at the tomato core. Placed in grey bowl.",19.0,g,,Project09242023161000,"['10_tomato_0_0', '10_tomato_0_1']",['IMG_3966'],3.0,"good scan of tomato, lacks a bit of texture however. Backside of bowl is missing.",,14:54:54,16:16:52,"[{'done': True, 'rgbd_files_present': False, 'model_quality_acceptable': False, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: not present, could have been lost at sync\nModel quality: overally good but the hole at the bottom of the bowl needs to be \nfilled in before we accept this\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': False}]",,,
230,22,35a11a80-68bb-421b-a1b3-2683beb819d6,broccoli,broccoli,whole bunch of raw broccoli,299.0,g,,Project10082023145911,"['22_broccoli_1_0', '22_broccoli_1_1']",['IMG_4041'],3.0,representative broccoli with sufficient detail. Caveat: many smaller holes were filled + colour irregularities.,,14:22:08,15:22:56,"[{'done': True, 'rgbd_files_present': True, 'model_quality_acceptable': True, 'rgbd_quality_acceptable': True, 'ingredients_acceptable': True, 'comments': 'RGBD files: very good\nModel quality: very good\n', 'model_merge_required': False, 'model_texture_required': True, 'accepted': True}]",,,
